alim_code,name_fr,name_en,group_code,subgroup_code,subsubgroup_code,energy_kcal,energy_kj,protein_g,carbs_g,sugars_g,fat_g,saturated_fat_g,fibre_g,salt_g,water_g
1000,Pastis,Pastis (anise-flavoured spirit),06,0603,060303,274,1140,0,"2,86",0,0,0,0,0,"59,7"
1001,Eau de vie de fruits,Fruit brandy or eau-de-vie,06,0603,060303,233,966,0,"0,63",0,0,0,0,"0,0035","66,4"
1002,Gin,Gin,06,0603,060303,265,1100,0,0,0,0,0,0,"0,005","62,1"
1003,Liqueur,Liqueur,06,0603,060303,225,944,"0,1","25,4","17,4","0,23","0,11",0,"0,02","55,8"
1004,Rhum,Rum,06,0603,060303,234,969,0,0,0,0,0,0,"0,0025","66,6"
1005,Whisky,Whisky,06,0603,060303,252,1050,0,"0,096","0,096",0,0,0,0,"63,9"
1006,Vin doux,"Wine, sweet",06,0603,060301,148,616,"0,2","9,96","7,78",0,0,0,"0,023","70,5"
1007,Apéritif à base de vin ou vermouth,Wine-based aperitif,06,0603,060303,137,573,"0,054","11,3","11,1",0,0,0,"0,038","75,3"
1008,Vodka,Vodka,06,0603,060303,250,1030,0,0,0,0,0,0,"0,0025","64,4"
1010,"Pastis, prêt à boire (1+ 5)","Anise spirit, diluted (1+5)",06,0603,060303,-,-,0,"0,5",0,0,0,0,"0,0063","93,1"
1011,"Apéritif anisé sans alcool, à diluer","Pastis, alcohol-free, to be diluted",06,0603,060303,6,25,0,1,"0,03",0,0,1,"0,038",-
1012,Cocktail à base de rhum,"Cocktail, rum-based",06,0603,060304,121,502,0,"7,74","7,74","2,19","1,64","0,3","0,015","82,7"
1013,Cocktail à base de whisky,"Cocktail, whisky-based",06,0603,060304,166,693,traces,"15,8","15,8","0,02","0,003",0,"0,12","69,2"
1014,Alcool pur,Pure alcohol,06,0603,060303,660,2730,0,0,0,0,0,0,0,-
1015,Marsala,Marsala wine,06,0603,060303,211,887,"0,1","27,9","27,9",0,0,0,"0,01","57,7"
1016,Marsala aux oeufs,Marsala with eggs,06,0603,060303,153,640,0,"12,4","12,4",0,0,0,0,-
1017,"Sangria, faite maison",Sangria,06,0603,060304,"88,7",372,0,11,"9,5","0,05",0,0,"0,0075",83
1018,"Kir (vin blanc, crème de cassis)",Kir (white wine with blackcurrant liqueur),06,0603,060304,"74,7",311,"0,18","3,3","3,3",0,0,0,"0,0039","83,5"
1019,"Kir royal (champagne, crème de cassis)",Kir royal (champagne with blackcurrant liqueur),06,0603,060304,"87,3",364,"0,25","5,66","5,66",0,0,0,"0,0039","82,5"
1021,Crème de cassis,Blackcurrant liqueur,06,0603,060303,245,1030,0,41,"40,9",0,0,0,0,"47,1"
1022,"Cocktail type punch, 16% alcool, préemballé","Cocktail, punch type, 16% alcohol, prepacked",06,0603,060304,159,665,"0,6","17,8","17,8","< 0,6","< 0,00024","< 0,5","0,042",-
1023,Eau de vie de vin type armagnac ou cognac,"Brandy, Armagnac or Cognac type",06,0603,060303,222,922,0,"0,76",0,0,0,0,"0,0019","67,9"
1024,Eau de vie type calvados,"Apple brandy, Calvados type",06,0603,060303,-,-,0,0,0,0,0,0,0,-
1026,Saké ou alcool de riz,Sake or rice wine,06,0603,060303,113,467,0,0,0,0,0,0,"0,005","78,4"
1027,"Spécialité végétale type fromage à tartiner, au soja, préemballée","Plant-based spread-cheese type, with soybean, prepacked",05,0503,050306,174,724,"12,8","1,05",traces,"13,1","1,87","< 0,5","1,15","71,9"
1028,"Spécialité végétale type fromage, à la noix de cajou, préemballée","Plant-based cheese, with cashew, prepacked",05,0503,050306,441,1830,"14,5","15,2","0,28","35,3","5,78","2,6","0,88","29,5"
1029,"Spécialité végétale type fromage en tranche ou râpé, sans soja, préemballée","Plant-based cheese, without soybean, prepacked",05,0503,050306,271,1130,"0,25","21,2","0,25","20,1","17,4","2,3","1,88","54,1"
1030,"Fines tranches végétales, préemballées","Plant-based ham, prepacked",04,0403,040309,242,1010,"29,7","4,13","0,93","11,1","0,89","3,2","1,62","50,2"
1031,"Spécialité végétale type pâté, préemballée","Plant-based pâté, prepacked",04,0403,040309,197,816,"3,56","9,45","1,49","15,4","4,13","2,96","1,27","66,7"
1032,"Haché à base de boeuf et soja, préemballé","Burger from beef and soybean, prepacked",04,0404,000000,214,888,15,"2,48","0,7","14,6","6,29","4,5","0,83","63,7"
1033,"Nuggets ou croquette panée de poulet (contenant du soja), préemballé","Chicken nuggets (with soybean), breaded croquette, prepacked",01,0103,010301,220,923,"13,4","16,7","1,74","10,3","1,8",2,"1,36","57,6"
1034,"Saucisse de volaille type knack (contenant du soja), préemballée","Poultry sausage (with soybean), prepacked",04,0404,000000,208,863,"12,1","2,72","0,64","15,8","4,75","1,1","2,84","63,7"
2000,"Jus d'ananas, à base de concentré","Pineapple juice, from concentrate",06,0602,060201,"52,3",222,"0,41","11,9","11,9","0,096","0,044","0,18","0,011","87,1"
2002,"Jus multifruit, pur jus, multivitaminé","Multifruit juice, pure juice, multivitamin",06,0602,060201,"48,4",205,"0,48","11,3",11,"0,1",0,"0,25","0,0038","86,5"
2004,Jus de fruits (aliment moyen),Fruit juice (average),06,0602,060201,"46,8",199,"0,53","10,2","9,98","0,13","0,04","0,28","0,012","88,2"
2006,"Jus de carotte, pur jus","Carrot juice, pure juice",06,0602,060201,"29,4",124,"0,4","6,55","5,95","0,1","0,037","0,33","0,1","88,9"
2007,"Jus de citron, fait maison","Lemon juice, homemade",06,0602,060201,"28,6",122,"0,35","2,52","2,52","0,24","0,04","0,3","0,0065","92,3"
2008,Cocktail ou boisson apéritive sans alcool à base de jus de fruits et de sirop,"Cocktail, alcohol-free (juices and syrup-based cocktail)",06,0603,060304,46,195,"0,42","10,9","10,8",0,-,"0,36","0,0056","86,4"
2009,"Nectar multifruit, base pomme, standard","Multifruit nectar, apple base, standard",06,0602,060202,"41,1",175,"0,28",10,10,"< 0,1",-,traces,-,"88,7"
2010,"Nectar multifruit, base pomme, multivitaminé","Multifruit nectar, apple base, multivitamin",06,0602,060202,"36,4",155,"0,05","9,1","9,1","< 0,1",-,traces,-,"88,7"
2011,"Jus multifruit, base orange, multivitaminé","Multifruit juice, orange base, multivitamin",06,0602,060201,"45,5",194,"0,25","11,3","11,1","< 0,8",-,"< 0,5","0,008","87,6"
2012,"Jus d'orange, à base de concentré","Orange juice, from concentrate",06,0602,060201,"45,6",194,"0,63","9,59","9,59","0,13","0,034","0,25","0,0084","89,7"
2013,"Jus d'orange, frais","Orange juice, fresh",06,0602,060201,"44,8",190,"0,7","9,19","8,4","0,2","0,024","0,2","< 0,0028","88,3"
2014,"Jus de pomme, à base de concentré","Apple juice, from concentrate",06,0602,060201,"48,5",206,"0,24","11,3","10,8","0,098","0,033","0,3","0,014","88,5"
2015,"Jus de pamplemousse (pomélo), à base de concentré","Grapefruit juice, from concentrate",06,0602,060201,"40,9",174,"0,52","8,41","8,41","0,1","0,074","0,21","0,01","89,9"
2016,"Jus de raisin, pur jus","Grape juice, pure juice",06,0602,060201,"69,2",294,"0,25","16,3",16,"0,057","0,031","0,14","0,0089","82,4"
2017,"Jus de grenade, pur jus","Pomegranate juice, pure juice",06,0602,060201,54,229,"0,15","12,7","12,7","0,29","0,077","0,1","0,023",86
2018,Jus de pruneau,Prune juice,06,0602,060201,"77,4",329,"0,37","18,7","13,5","0,039","0,003","0,45","0,025","81,2"
2019,"Jus de raisin, à base de concentré","Grape juice, from concentrate",06,0602,060201,"67,1",285,"0,31",16,16,"0,11","0,055","0,15","0,0074","84,2"
2022,Nectar de fraise,Strawberry nectar,06,0602,060202,"47,5",202,"0,3","11,3",11,"0,1",0,"0,1","0,005","87,1"
2023,"Jus de mangue, frais","Mango juice, fresh",06,0602,060201,"38,8",165,"0,19","9,5","9,3",0,traces,traces,"0,028",86
2024,"Jus de fruit de la passion ou maracudja, frais","Passion fruit juice, fresh",06,0602,060201,"61,7",262,"0,67","14,3","14,3","0,18","0,015","0,2","0,015","84,2"
2025,"Jus de pamplemousse (pomélo), frais","Grapefruit juice, fresh",06,0602,060201,"43,7",186,"0,5","9,1","9,1","0,1","0,014","0,1","0,0025",90
